station_name,avg_temp,rainfall,wind_speed,air_pressure
Sawai Madhopur,27.03955592,3.136101974,9.347286184,1008.520312
Seoni,24.45406313,3.532437878,9.736131632,1009.377972
Shahjahanpur,23.81820013,3.151376763,9.2597045,1008.277166
Shajapur,24.71289456,3.195433177,9.535527199,1009.402821
Shanti Niketan,25.61746138,3.704902619,7.457756884,1008.16454
Sheopur,25.29251604,3.151247327,8.808196721,1008.391732
Shillong,17.540713,7.773336006,6.582874412,1011.809066
Shimla,14.96568784,5.78218313,5.392478173,1012.64184
Shimla / Kanda,15.91606183,2.996639785,6.842271505,1012.864651
Shimoga,24.45883143,3.513096038,10.16373405,1010.920215
Shirali,26.92124254,15.52025684,13.26662189,1009.588852
Shivpuri,24.28797851,2.788448623,9.319006044,1009.154399
Sholapur,27.76166983,3.896579888,10.24741437,1009.0863
Sidhi,24.74398925,2.867024849,8.272733378,1008.578509
Sikar,24.48321021,1.329214238,10.24714574,1008.890463
Silchar,25.64587084,10.18151016,5.458629953,1009.012021
Siliguri,24.51443932,9.64052306,7.399463807,1008.678954
Srinagar,13.63570655,3.40748652,6.377413209,1015.578218
Sundargarh,26.40486339,6.232501095,8.213864702,1008.329806
Sundernagar / Sundarnagar,19.5161182,2.913498993,4.339288113,1011.097246
Supaul,24.23934049,4.149539877,9.57446319,1008.302454
Surat,27.6498103,7.083488943,10.87734119,1008.918063
Surat / Magdala,27.65151762,6.468501229,14.28113949,1008.757526
Surendranagar,27.41685695,2.169644056,11.70470114,1008.792881
T.B.I.A,27.45366017,3.82578912,19.33801209,1008.809268
Tehri,19.78605911,4.341090018,4.482668712,1011.496166
Tezpur,24.76544517,7.125861401,5.960980524,1009.211081
Thanjavur,27.76738296,3.833077513,10.96032233,1009.115503
Thiruvananthapuram,28.09607472,7.59808479,7.050225225,1009.321775
Thrissur,26.75568258,8.214122394,9.991728312,1009.831002
Tikamgarh,24.56729349,2.848220282,9.109939557,1008.534385
Tiruchchirapalli,29.25185486,4.174775626,11.78716959,1008.841308
Tirupathi,27.68369128,3.542751678,9.084630872,1008.995168
Tirupati / Renigunta,27.92302013,3.314295302,9.693087248,1009.061007
Tiruppattur,25.97876344,3.22641129,8.053763441,1010.214651
Tiruttani,28.22256332,3.940214889,9.362778204,1009.110898
Tondi,29.1105484,5.09344179,12.73732347,1009.093679
Tuni,27.37192747,3.626326394,9.357152451,1008.586031
Tuticorin New Port,28.11728111,3.635023041,16.36889401,1009.142627
Udaipur,24.99277535,3.632209361,10.68446082,1009.687793
Udaipur / Naramagra,25.18966739,3.622798188,7.700669792,1010.032461
Udaipur Dabok,25.39277535,3.632209361,10.68446082,1009.687793
Udgir,25.77535259,2.542377435,10.4644728,1009.460779
Udhagamandalam,15.0125,5.198252688,7.871908602,1015.503696
Ujjain,24.6886501,2.916319678,10.35943586,1009.512223
Uluberia,25.83397239,4.700153374,8.940797546,1008.141411
Umaria,24.34566823,3.191202149,8.547280054,1009.167293
Una,22.13640027,2.598656817,7.164472801,1009.50141
Vallabh Vidyanagar,27.18616521,2.587239758,9.758764271,1008.558227
Valparai,20.52728495,9.115658602,7.757728495,1014.120833
Varanasi,25.98712575,4.426493256,8.261493506,1008.298187
Varanasi / Babatpur,25.94256941,4.384104046,7.264155844,1008.094762
Vellore,29.29383009,4.333125708,9.353158602,1009.334543
Vengurla,27.06339825,8.056682337,15.43854936,1009.329953
Veraval,27.29458798,4.653943886,14.8626595,1009.090934
Vidisha,23.62655602,2.533056133,10.02785863,1010.848441
Vijayawada / Gannavaram,28.87908052,5.419971126,7.128089888,1008.173565
Vishakhapatnam,27.83946269,4.157843137,12.74202432,1008.396763
Vishakhapatnam / Gajuwaka,27.67513433,4.344024276,11.88737482,1008.378906
Vizagapatam / Gajuwaka,27.9180597,4.33496732,10.46888412,1008.339621
Wardha,26.72525185,3.448153123,8.277904634,1008.601478
Washim / W?sh?m,25.72471457,3.166286098,10.45446608,1009.384218
Yeotmal,26.46051041,3.514372062,10.42511753,1009.067965
Yercaud,19.42721774,3.527016129,8.027016129,1011.082997
